"game","row","col","date","day","month","year","order","player1","player2","player3"
18,5,3,"2004-09-29","29","09","2004",3,"Reynolds_Steve","Gandolfi_Arthur","Baker_Tom"
19,5,1,"2004-09-30","30","09","2004",1,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
19,2,1,"2004-09-30","30","09","2004",2,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
19,3,3,"2004-09-30","30","09","2004",3,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
20,4,4,"2004-10-01","01","10","2004",1,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
20,3,3,"2004-10-01","01","10","2004",2,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
20,3,6,"2004-10-01","01","10","2004",3,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
21,4,1,"2004-10-04","04","10","2004",1,"Salkind_Beth","Suchard_Jeff","Jennings_Ken"
21,4,1,"2004-10-04","04","10","2004",2,"Salkind_Beth","Suchard_Jeff","Jennings_Ken"
21,4,6,"2004-10-04","04","10","2004",3,"Salkind_Beth","Suchard_Jeff","Jennings_Ken"
22,5,3,"2004-10-05","05","10","2004",1,"Wolman_Jay","Greene_Pat","Jennings_Ken"
22,3,2,"2004-10-05","05","10","2004",2,"Wolman_Jay","Greene_Pat","Jennings_Ken"
22,5,1,"2004-10-05","05","10","2004",3,"Wolman_Jay","Greene_Pat","Jennings_Ken"
23,4,6,"2004-10-06","06","10","2004",1,"Carter_Bill","Dorminey_Kathryn","Jennings_Ken"
23,3,1,"2004-10-06","06","10","2004",2,"Carter_Bill","Dorminey_Kathryn","Jennings_Ken"
23,4,3,"2004-10-06","06","10","2004",3,"Carter_Bill","Dorminey_Kathryn","Jennings_Ken"
24,4,1,"2004-10-07","07","10","2004",1,"Lord_Jennifer","Kornya_Steve","Jennings_Ken"
24,3,4,"2004-10-07","07","10","2004",2,"Lord_Jennifer","Kornya_Steve","Jennings_Ken"
24,3,6,"2004-10-07","07","10","2004",3,"Lord_Jennifer","Kornya_Steve","Jennings_Ken"
25,3,3,"2004-10-08","08","10","2004",1,"Lindke_Al","Watson_Aimee","Jennings_Ken"
25,4,3,"2004-10-08","08","10","2004",2,"Lindke_Al","Watson_Aimee","Jennings_Ken"
25,4,5,"2004-10-08","08","10","2004",3,"Lindke_Al","Watson_Aimee","Jennings_Ken"
26,5,6,"2004-10-11","11","10","2004",1,"Mabry_Tristan","Schomaker_Sunny","Jennings_Ken"
26,4,3,"2004-10-11","11","10","2004",2,"Mabry_Tristan","Schomaker_Sunny","Jennings_Ken"
26,4,4,"2004-10-11","11","10","2004",3,"Mabry_Tristan","Schomaker_Sunny","Jennings_Ken"
27,5,3,"2004-10-12","12","10","2004",1,"Palino_Marcy","Kleinmaier_Matt","Jennings_Ken"
27,4,1,"2004-10-12","12","10","2004",2,"Palino_Marcy","Kleinmaier_Matt","Jennings_Ken"
27,4,4,"2004-10-12","12","10","2004",3,"Palino_Marcy","Kleinmaier_Matt","Jennings_Ken"
28,5,6,"2004-10-13","13","10","2004",1,"Bellinger_Larry","Poss_Marielle","Jennings_Ken"
28,4,3,"2004-10-13","13","10","2004",2,"Bellinger_Larry","Poss_Marielle","Jennings_Ken"
28,5,5,"2004-10-13","13","10","2004",3,"Bellinger_Larry","Poss_Marielle","Jennings_Ken"
29,4,3,"2004-10-14","14","10","2004",1,"Backer_K.C.","House_Graham","Jennings_Ken"
29,3,4,"2004-10-14","14","10","2004",2,"Backer_K.C.","House_Graham","Jennings_Ken"
29,3,5,"2004-10-14","14","10","2004",3,"Backer_K.C.","House_Graham","Jennings_Ken"
30,4,4,"2004-10-15","15","10","2004",1,"Ruiz JR._José","Rosenfeld_Josh","Jennings_Ken"
30,3,5,"2004-10-15","15","10","2004",2,"Ruiz JR._José","Rosenfeld_Josh","Jennings_Ken"
30,5,3,"2004-10-15","15","10","2004",3,"Ruiz JR._José","Rosenfeld_Josh","Jennings_Ken"
31,5,1,"2004-10-18","18","10","2004",1,"Scurry_Kelly","Koch_Tim","Fraedrich_Megan"
31,4,1,"2004-10-18","18","10","2004",2,"Scurry_Kelly","Koch_Tim","Fraedrich_Megan"
32,4,4,"2004-10-19","19","10","2004",1,"Riippa_Emily","Kubendran_Nithya","Houser_Jake"
32,4,4,"2004-10-19","19","10","2004",2,"Riippa_Emily","Kubendran_Nithya","Houser_Jake"
32,5,6,"2004-10-19","19","10","2004",3,"Riippa_Emily","Kubendran_Nithya","Houser_Jake"
33,2,5,"2004-10-20","20","10","2004",1,"Turner_Tamika","Thomas_Grace","Klein_Josh"
33,3,1,"2004-10-20","20","10","2004",2,"Turner_Tamika","Thomas_Grace","Klein_Josh"
33,4,3,"2004-10-20","20","10","2004",3,"Turner_Tamika","Thomas_Grace","Klein_Josh"
34,4,6,"2004-10-21","21","10","2004",1,"Nutman_Alex","Lee_Edward","Johnson_Lorna"
34,4,1,"2004-10-21","21","10","2004",2,"Nutman_Alex","Lee_Edward","Johnson_Lorna"
34,4,3,"2004-10-21","21","10","2004",3,"Nutman_Alex","Lee_Edward","Johnson_Lorna"
35,4,1,"2004-10-22","22","10","2004",1,"Zakem_Patrick","Messalas_Theodora","Gardiner_Ross"
36,5,4,"2004-10-25","25","10","2004",1,"Gordon_Nathan","Harriss_Jennifer","Jennings_Ken"
